tweet_id,username,name,creation_date,text,location
1697925947108851984,CP24,CP24,Sat Sep 02 10:54:26 +0000 2023,N.W.T. officials set to share details about lifting of Yellowknife evacuation order https://t.co/V5rPkIGxBQ,Toronto
1697955044505878913,rdnewsNOW,rdnewsNOW,Sat Sep 02 12:50:03 +0000 2023,N.W.T. officials set to share details about lifting of Yellowknife evacuation order https://t.co/LU6icebEqc https://t.co/UWHZCUQxZH,"Red Deer, Alberta"
1698079800794226758,TecFeed,Technology Feed,Sat Sep 02 21:05:47 +0000 2023,Was the Yellowknife evacuation necessary or was it sensationalism?,World Wide
1697827348400504960,AuroraHunterJoe,Aurora_Hunter,Sat Sep 02 04:22:38 +0000 2023,"UPDATE: WE CAN GO HOME! Official announcement says the general public can return to #Yellowknife Sep 06! Based on this we can start our #Aurora Hunting tours Sep 07. The evacuation has been devastating for us, now more then ever we need your help we need your bookings to #rebuild https://t.co/5HICaAiUkK","Yellowknife, Northwest Territories, Canada"
1697886625424953392,JaunNews,Jaun News,Sat Sep 02 08:18:11 +0000 2023,"N.W.T. officials set to share details about lifting of Yellowknife evacuation order – Winnipeg Free Press
https://t.co/jl9KiyuhA8",
1697940296066072685,nohaw566295,nohaw,Sat Sep 02 11:51:27 +0000 2023,"Yellowknife says residents may return as early as Sept. 6 after wildfire evacuations
YELLOWKNIFE https://t.co/xcinYP63n1",
1697906623799292248,nitsonnet,Nitish Verma,Sat Sep 02 09:37:39 +0000 2023,"Residents of Canadian Far North Allowed to Return Home After Wildfire Evacuation

#Yellowknife #Canada #CanadaWildfire #Evacuation #HeroesAmongUs #YellowknifeStrong #ClimateCrisis #BreakingNews #BNN https://t.co/3Jkhq4OHlb",India
1697797139227631798,CWawzonek,Caroline Wawzonek,Sat Sep 02 02:22:36 +0000 2023,"The City of Yellowknife and the YKDFN have put together their Community Re-entry Plan - I have put it into a jpg format for you, or you can download it here: https://t.co/HZK0cd97DZ

#NWTFire #OpenNWT #Evacuation #ReEntry #Plan #NWTpoli #CDNpoli https://t.co/VFMQJcdVnS","Yellowknife, NT"
1697818263760089326,MSNca,MSN Canada,Sat Sep 02 03:46:32 +0000 2023,"Evacuees at the Expo Centre in Edmonton react to news that they will be able to go home to N.W.T. on Sept. 6, three weeks after the territory issued an evacuation order for Yellowknife and neighbouring communities due to an approaching wildfire.
https://t.co/I032BHjR3V",
1698005751544127675,CastanetKam,Castanet Kamloops,Sat Sep 02 16:11:33 +0000 2023,"N.W.T. officials set to share details about lifting of Yellowknife evacuation order: Residents of Yellowknife and a nearby First Nation have been told they&amp;#39;ll be allowed home as early as Sept. 6, barring any increase in wildfire risk. The city and… https://t.co/V7IjoIcPYP https://t.co/YbUyzsGswI","Kamloops, British Columbia"
